Producto,Precio
Audífonos JBL Quantum 100 Gaming,Bs.309.
Audífonos JBL Quatum 400 Gaming,Bs.749.
Mouse optico con cable Klip Xtreme KMO102LiteGlider,Bs.59.
Mouse Logitech G502 Hero,Bs.519.
Protector de Pantalla para Tablet S7 Transparente,Bs.89.
"Computadora Dell de 15.6"" Intel Core i5 11va Gen. 8GB Ram 256 SSD, Sistema Operativo Linux","Bs.6,299."
Mochila Para Laptop Xtech Color Negro,Bs.199.
Mochila Para Laptop Xtech Color Gris,Bs.219.
Mochila Para Laptop Xtech Color Celeste,Bs.219.
Kit gamer: teclado razer cynosa lite y mouse abyssus lite,Bs.419.
"Mochila para laptop de 15.4"" color azul Klip Xtreme",Bs.179.
Cable HDMI 3mts marca Xtech,Bs.69.
Regleta Forza 220V nivel de protección 4,Bs.149.
"Mochila para laptop de 15.4"" color azul Klip Xtreme",Bs.159.
"Mochila para laptop de 16"" color naranja Klip Xtreme",Bs.199.
Mouse gamer de 6 botones negro Xtech,Bs.89.
Impresora Epson multifuncion L3210,"Bs.1,869."
"Combo Computadora Dell de 15,6"""" Intel Core i3 NB Vostro 11va generación + Mouse optico con cable Logitech","Bs. 5,189.00"
"Mochila para laptop de 15.4"" color gris Klip Xtreme",Bs.199.
Mochila Para Laptop Xtech Color Negro con azul,Bs.179.
"Combo Computadora pc Huawei Ryzen 5 + Monitor Huawei 23"" FHD + Teclado + Mouse con cable Microsoft 600","Bs. 6,369.00"
"Computadora HP 14"" AMD Athlon 3050U DK1011LA","Bs.3,999."
"Computadora Huawei 14"" Intel Core i3 10110U 8GB / 256GB SSD","Bs.5,949."
"Monitor Huawei 23"" FHD","Bs.1,579."
"Monitor 21.5"" HP FHD","Bs.1,519."
Mouse inalámbrico Microsoft 3500 gray,Bs.219.
Teclado + Mouse con cable Microsoft 600,Bs.189.
Teclado inalámbrico Logitech K270,Bs.159.
"Combo Computadora portátil HP de 14"" Intel Core i3 4GB Memoria RAM, 1TB Disco Duro + Mouse optico inalámbrico Logitech M190 + Mochila para laptop de 15.6"" color gris Klip Xtreme","Bs. 4,899.00"
"Combo Computadora Huawei 14"" Intel Core i5 Ram 8GB 512 GB disco duro SSD + Mouse optico con cable Logitech","Bs. 8,389.00"
Cable HDMI 4.57mts marca Xtech,Bs.69.
"Combo Computadora Huawei 14"" Intel Core i3 10110U 8GB / 256GB SSD + Mouse inalámbrico Microsoft 3500 gray + Mochila para laptop de 15.6"" color azul Klip Xtreme","Bs. 5,919.00"
OfficeSuite personal 1 año 1 usuario 2 dispositivos,Bs.199.
Mouse Logitech Gaming G203 Lightsync,Bs.329.
